"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
"Highland","Allt Garaidh Ghualaich Hydro Scheme Powerhouse","Small Hydro",1.1,"Under Construction","Highland","S12000017"
"Highland","Inverness Royal Academy","Solar Photovoltaics",0.3,"Awaiting Construction","Highland","S12000017"
"Highland","Allt an t-Sidhein Hydro Scheme","Small Hydro",0.5,"Under Construction","Highland","S12000017"
"Highland","Lochluichart Wind Farm Extension 2","Wind Onshore",24,"Application Submitted","Highland","S12000017"
"Highland","Aberarder Wind Farm","Wind Onshore",49.9,"Awaiting Construction","Highland","S12000017"
"Highland","Ben Sca","Wind Onshore",29.4,"Awaiting Construction","Highland","S12000017"
"Strathclyde","Overton Water Treatment Works, Old Largs Road By Overton - Solar Panels","Solar Photovoltaics",0.62,"Application Submitted","Inverclyde","S12000018"
"Strathclyde","Greenock Headworks, Eldon Street - Solar Panels","Solar Photovoltaics",0.228,"Awaiting Construction","Inverclyde","S12000018"
"Inverclyde","King Street - Photovoltaic Panels","Solar Photovoltaics",NA,"Awaiting Construction","Inverclyde","S12000018"
"Inverclyde","Faulds Park Road- Solar PV Panlels","Solar Photovoltaics",0.341,"Awaiting Construction","Inverclyde","S12000018"
"Midlothian","Silverburn Water Tank, Hopelands Road - Solar Array","Solar Photovoltaics",0.24,"Application Submitted","Midlothian","S12000019"
"Midlothian","Rullion Road - Solar Array","Solar Photovoltaics",0.255,"Application Submitted","Midlothian","S12000019"
"Midlothian","Butlerfield Industrial Estate - Solar Array","Solar Photovoltaics",0.37392,"Application Submitted","Midlothian","S12000019"
"Midlothian","Easter Bush","Solar Photovoltaics",3,"Under Construction","Midlothian","S12000019"
NA,"James Hamilton Way - Solar Farm","Solar Photovoltaics",NA,"Application Submitted","Midlothian","S12000019"
"Midlothian","Old Dalkeith Road, Danderhall - Solar panels","Solar Photovoltaics",0.15,"Awaiting Construction","Midlothian","S12000019"
"Grampian","Portgordon - Anaerobic Digestion Tanks","Anaerobic Digestion",NA,"Under Construction","Moray","S12000020"
"Moray","Glenfiddich Distillery AD (Extension)","Anaerobic Digestion",2,"Awaiting Construction","Moray","S12000020"
"Moray","Speyslaw Solar Farm","Solar Photovoltaics",20,"Awaiting Construction","Moray","S12000020"
"Moray","Portgordon Maltings - Anaerobic Digestion Facility, Phase 2","Anaerobic Digestion",NA,"Awaiting Construction","Moray","S12000020"
"North Ayrshire","Glaxosmithkline Shewalton Road","Solar Photovoltaics",19.9,"Awaiting Construction","North Ayrshire","S12000021"
"North Ayrshire","Ardeer Peninsula, Ardeer - Wind Turbines","Wind Onshore",14.4,"Application Submitted","North Ayrshire","S12000021"
"Ayrshire","Ardagh Glass Limited - Solar Panels","Solar Photovoltaics",1,"Awaiting Construction","North Ayrshire","S12000021"
"North Ayrshire","Oldhall Industrial Estate","EfW Incineration",15,"Awaiting Construction","North Ayrshire","S12000021"
"Strathclyde","Sorbie Farm","Wind Onshore",9,"Under Construction","North Ayrshire","S12000021"
"North Ayrshire","Blackbarn Farm","Small Hydro",1,"Awaiting Construction","North Ayrshire","S12000021"
"North Ayrshire","Shewalton Road","Wind Onshore",3,"Awaiting Construction","North Ayrshire","S12000021"
"Strathclyde","Coatbridge Material Recovery and Renewable Energy Facility","Advanced Conversion Technologies",25,"Under Construction","North Lanarkshire","S12000050"
"North Lanarkshire","Brownhill Farm","Wind Onshore",8.4,"Awaiting Construction","North Lanarkshire","S12000050"
"North Lanarkshire","Land South East Of Auchterhead","Wind Onshore",2.3,"Application Submitted","North Lanarkshire","S12000050"
"North Lanarkshire","Tannochside Drive, Tannochside Park - Roof Mounted Solar Array","Solar Photovoltaics",NA,"Awaiting Construction","North Lanarkshire","S12000050"
"North Lanarkshire","Southrigg 2","Wind Onshore",4.2,"Awaiting Construction","North Lanarkshire","S12000050"
"Strathclyde","West Benhar wind farm","Wind Onshore",27.2,"Under Construction","North Lanarkshire","S12000050"
"North Lanarkshire","Hartwood Windfarm","Wind Onshore",21,"Awaiting Construction","North Lanarkshire","S12000050"
"Strathclyde","Hollywood Bowl Showcase Leisure Park, Barrbridge Road - Solar Array","Solar Photovoltaics",0.18,"Awaiting Construction","North Lanarkshire","S12000050"
"North Lanarkshire","Sewage Treatment Works, Rosehall Road - Solar PV Panels","Solar Photovoltaics",0.227,"Application Submitted","North Lanarkshire","S12000050"
"North Lanarkshire","Forrestfield Wind Farm","Wind Onshore",13.2,"Application Submitted","North Lanarkshire","S12000050"
"North Lanarkshire","Forrest Road, Salsburgh - Wind Farm","Wind Onshore",12.6,"Application Submitted","North Lanarkshire","S12000050"
"Strathclyde","Greengairs East Wind Farm","Wind Onshore",24,"Under Construction","North Lanarkshire","S12000050"
"Orkney Islands","Akla","Wind Onshore",2.7,"Awaiting Construction","Orkney Islands","S12000023"
